종목코드,시장구분,종목명,산업분류,시가총액(원),PER,PBR,배당수익률,ROE,X
X005930,코스피,삼성전자,전기전자,309234736090000,8.02,1.47,2.73,0.183291770573566,
X000660,코스피,SK하이닉스,전기전자,59914594639500,3.7,1.28,1.82,0.345945945945946,
X035420,코스피,NAVER,서비스업,28512717335000,38.99,5.44,0.18,0.139522954603745,
X005380,코스피,현대차,운수장비,26174352907500,21.75,0.5,3.27,0.022988505747126,
X207940,코스피,삼성바이오로직스,의약품,25738185000000,114.85,6.19,0,0.053896386591206,
X012330,코스피,현대모비스,운수장비,23540753418000,12.38,0.78,1.62,0.063004846526656,
X068270,코스피,셀트리온,의약품,23100813540000,87.25,9.11,0,0.104412607449857,
X051910,코스피,LG화학,화학,21777737815500,16.05,1.41,1.94,0.08785046728972,
X055550,코스피,신한지주,금융업,21315271435650,6.83,0.6,3.56,0.087847730600293,
X005490,코스피,POSCO,철강금속,20358125972500,11.17,0.47,4.28,0.042076991942704,
X051900,코스피,LG생활건강,화학,19913201175000,31.3,6.43,0.73,0.205431309904153,
X017670,코스피,SK텔레콤,통신업,19701953484000,5.54,0.88,4.1,0.15884476534296,
X028260,코스피,삼성물산,유통업,19348384386000,9.82,0.98,1.96,0.09979633401222,
X105560,코스피,KB금융,금융업,19170413971450,5.94,0.54,4.19,0.090909090909091,
X034730,코스피,SK,금융업,18715839002000,6.6,1.13,1.88,0.171212121212121,
X015760,코스피,한국전력,전기가스업,17846601340600,NA,0.26,0,NA,
X000270,코스피,기아차,운수장비,17815719100650,15.24,0.65,2.05,0.042650918635171,
X006400,코스피,삼성SDI,전기전자,16434722670000,22.8,1.41,0.42,0.061842105263158,
X018260,코스피,삼성에스디에스,서비스업,15436871100000,24.52,2.58,1,0.105220228384992,
X032830,코스피,삼성생명,금융업,14340000000000,7.74,0.5,3.7,0.064599483204134,
X096770,코스피,SK이노베이션,화학,13823601818000,8.18,0.77,5.35,0.094132029339853,
X035720,코스피,카카오,서비스업,13556666025000,252.81,2.56,0.08,0.010126181717495,
X033780,코스피,KT&G,기타제조,13399747707200,13.67,1.66,4.1,0.121433796634967,
X003550,코스피,LG,금융업,12424113432000,6.79,0.7,2.78,0.103092783505155,
X066570,코스피,LG전자,전기전자,11602630012600,10.3,0.9,1.06,0.087378640776699,
X036570,코스피,엔씨소프트,서비스업,11438045462000,26.27,4.83,1.16,0.183859916254282,
X000810,코스피,삼성화재,금융업,11085711858000,9.29,0.96,4.91,0.103336921420883,
X086790,코스피,하나금융지주,금융업,10898786850600,4.93,0.41,5.23,0.08316430020284,
X090430,코스피,아모레퍼시픽,화학,10551757445000,37.49,2.82,0.65,0.075220058682315,
X010950,코스피,S-Oil,화학,10109934721600,40.52,1.62,0.84,0.039980256663376,
X009540,코스피,한국조선해양,운수장비,8598933594000,NA,0.72,0,NA,
X316140,코스피,우리금융지주,금융업,8558872043550,NA,NA,NA,NA,
X009150,코스피,삼성전기,전기전자,8403040800000,12.95,1.81,0.89,0.13976833976834,
X010130,코스피,고려아연,철강금속,7821615000000,13.89,1.25,2.65,0.089992800575954,
X251270,코스피,넷마블,서비스업,7734035918400,40.45,1.76,0,0.043510506798517,
X011170,코스피,롯데케미칼,화학,7711969275000,4.88,0.61,4.67,0.125,
X091990,코스닥,셀트리온헬스케어,유통,7210795204800,626.25,4.39,0,0.00700998003992,
X030200,코스피,KT,통신업,7180574720000,9.79,0.54,4,0.055158324821246,
X021240,코스피,웅진코웨이,서비스업,7092143385900,19.8,6.52,3.75,0.329292929292929,
X024110,코스피,기업은행,금융업,6868168050100,4.7,0.37,5.8,0.078723404255319,
X035250,코스피,강원랜드,서비스업,6396820950000,20.38,1.78,3.01,0.087340529931305,
X002790,코스피,아모레G,화학,6374017314000,45.36,2.21,0.4,0.048721340388007,
X032640,코스피,LG유플러스,통신업,6090728485950,12.65,0.89,2.87,0.070355731225296,
X018880,코스피,한온시스템,기계,5871800000000,21.15,2.88,2.91,0.136170212765957,
X086280,코스피,현대글로비스,운수창고업,5643750000000,12.9,1.32,2.19,0.102325581395349,
X267250,코스피,현대중공업지주,화학,5602596248000,18.73,0.73,5.38,0.038974906567005,
X028300,코스닥,에이치엘비,운송장비·부품,5378460904400,198.08,30.26,0,0.152766558966074,
